Number of Threads    Time (Seconds)  Speedup        
1                    14.825327       1.000000       
2                    9.470770        1.565377       
3                    7.550599        1.963464       
4                    6.546025        2.264783       
5                    5.977276        2.480281       
6                    7.021409        2.111446       
7                    6.669049        2.223005       
8                    6.394898        2.318305       
9                    6.250772        2.371759       
10                   6.113919        2.424848       
11                   6.411732        2.312219       
12                   6.243472        2.374532       
13                   6.165890        2.404410       
14                   6.083032        2.437161       
15                   6.081453        2.437794       
16                   6.161460        2.406139       
